33.989135,-117.339123
33.989235,-117.339223
33.989335,-117.339323
33.989435,-117.339423
33.989535,-117.339523
33.989435,-117.339423
33.989335,-117.339323
33.989235,-117.339223
33.989135,-117.339123
33.989035,-117.339223
33.988935,-117.339323
33.989035,-117.339423
33.988935,-117.339523
33.988835,-117.339623
33.988735,-117.339723
33.988635,-117.339823
33.988735,-117.339923
33.988835,-117.340023
33.988735,-117.340123
33.988835,-117.340223
33.988935,-117.340323
33.989035,-117.340423
33.989135,-117.340523
33.989235,-117.340623
33.989335,-117.340523
33.989435,-117.340423
33.989535,-117.340323
33.989635,-117.340223
33.989735,-117.340123
33.989835,-117.340023
